HS부호,적용시작일자,적용종료일자,한글품목명,영문품목명,한국표준무역분류명,수량단위최대단가,중량단위최대단가,수량단위코드,중량단위코드,수출성질코드,수입성질코드,품목규격명,필수규격명,참고규격명,규격설명,규격사항내용,성질통합분류코드,성질통합분류코드명
101211000,2013-01-01,2022-12-31,농가 사육용,For farm breeding,,,,U,KG,11Z01,12399,,,,,,11020101,(말)
101219000,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020101,(말)
101291000,2012-01-01,2022-12-31,경주말,Horses for racing,,,,U,KG,11Z01,12399,,,,,,11020101,(말)
101299000,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020101,(말)
101300000,2022-01-01,2022-12-31,당나귀,Asses,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
101900000,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
102211000,2017-01-01,2022-12-31,젖소,For milk ,,0,0,U,KG,11Z01,12399,,,,,,11020102,(소)
102212000,2015-01-01,2022-12-31,육우(肉牛),For meat,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102219000,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102291000,2017-01-01,2022-12-31,젖소,For milk ,,0,0,U,KG,11Z01,12399,,,,,,11020102,(소)
102292000,2015-01-01,2022-12-31,육우(肉牛),For meat,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102299000,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102310000,2014-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102391000,2017-01-01,2022-12-31,젖소,For milk ,,0,0,U,KG,11Z01,12399,,,,,,11020102,(소)
102392000,2015-01-01,2022-12-31,육우(肉牛),For meat,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102399000,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102901000,2014-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
1029090,2016-01-01,2022-12-31,기타,Other,,,,,,,,,,,,,,
102909010,2012-01-01,2022-12-31,젖소,For milk,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102909020,2015-01-01,2022-12-31,육우(肉牛),For meat,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
102909090,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020102,(소)
103100000,2013-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020103,(돼지)
103910000,2002-01-01,2022-12-31,중량이 50킬로그램 미만인 것,Weighing less than 50 kg,,,,U,KG,11Z01,12399,,,,,,11020103,(돼지)
103920000,2002-01-01,2022-12-31,중량이 50킬로그램 이상인 것,Weighing 50 kg or more,,,,U,KG,11Z01,12399,,,,,,11020103,(돼지)
104101000,2013-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
104109000,2007-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
104201000,2013-01-01,2022-12-31,젖산양,Milk goats,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
104209000,2002-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
105111000,2013-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020104,(닭)
105119000,2002-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020104,(닭)
105120000,2002-01-01,2022-12-31,칠면조,Turkeys,,,,U,KG,11Z01,12399,,,,,,11020105,(칠면조)
105131000,2013-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020106,(오리)
105139000,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020106,(오리)
105140000,2012-01-01,2022-12-31,거위,Geese,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
105150000,2012-01-01,2022-12-31,기니아새,Guinea fowls,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
105941000,2013-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020104,(닭)
105949000,2007-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020104,(닭)
1059910,2016-01-01,2022-12-31,오리,Ducks,,,,,,,,,,,,,,
105991010,2013-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020106,(오리)
105991090,2007-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020106,(오리)
105992000,2002-01-01,2022-12-31,칠면조,Turkeys,,,,U,KG,11Z01,12399,,,,,,11020105,(칠면조)
105999000,2002-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106110000,2002-01-01,2022-12-31,영장류,Primates,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106121000,2017-01-01,2022-12-31,"고래   돌고래류(고래목의 포유동물), 바다소(바다소목의 포유동물)","Whales, dolphins and porpoises(mammals of the order Cetacea); manatees and dugongs(mammals of the order Sirenia)",,0,0,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106122000,2012-01-01,2022-12-31,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)","Seals, sea lions and walruses(mammals of the suborder Pinnipedia)",,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106130000,2017-01-01,2022-12-31,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],Camels and other camelids(Camelidae),,0,0,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106141000,2013-01-01,2022-12-31,번식용,Pure-bred breeding animals,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106149000,2012-01-01,2022-12-31,기타,Other,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106191000,2002-01-01,2022-12-31,개,Dogs,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106193000,2002-01-01,2022-12-31,사슴,Deer,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
106194000,2002-01-01,2022-12-31,곰,Bears,,,,U,KG,11Z01,12399,,,,,,11020190,(기타 산 동물)
1061950,2016-01-01,2022-12-31,여우,Fox,,,,,,,,,,,,,,
